order_id,customer_name,product,category,price,quantity,order_date,status
9c675962-2d19-4a7b-aea3-2f80a57e0332,Natalie King,Vacuum,Home,741.53,2,2026-05-14 12:54:09,Shipped
d18e8a2c-6220-49f4-83e7-46cd8df76a3c,Melissa Phillips,Hoodie,Apparel,876.4,3,2026-05-14 13:12:09,Processing
eee20052-431e-4c88-be44-dd7337d1f2a4,Kendra Donaldson,Hoodie,Apparel,203.26,5,2026-05-14 13:27:09,Shipped
c20a1b33-0ef4-47dc-9ce9-7b09fa546e7b,Eileen Spencer,T-Shirt,Apparel,260.68,5,2026-05-14 13:10:09,Shipped
564d9bdf-117e-4719-b258-1c87e3c35b68,Scott Booth,Smartwatch,Electronics,335.14,1,2026-05-14 12:58:09,Shipped
7a245311-6bfa-47a7-8637-0d95db3c5086,John Wang,Toaster,Home,326.23,3,2026-05-14 12:57:09,Shipped
a0f048ae-641e-4775-9d1d-0d0406b60af0,Jeff Gordon,Laptop,Electronics,774.08,1,2026-05-14 13:11:53,Processing
c8faaee6-062e-4c83-bbd1-4a0ddac7fced,Kyle Lewis,Laptop,Electronics,217.03,5,2026-05-14 13:03:53,Shipped
d16cc8b9-e43a-46db-b234-edcc5e95d606,Michelle Price,Desk Lamp,Home,826.59,2,2026-05-14 13:10:53,Shipped
45f3fd2c-c537-41a2-a433-ababde95af81,Francisco Gilbert,Sneakers,Apparel,844.73,2,2026-05-14 13:13:53,Shipped
0903ecf9-6e74-4699-ab37-d27be25e0eae,Heather Jones,Headphones,Electronics,132.42,3,2026-05-14 12:58:53,Processing
afde7c29-0100-436b-a304-17fb7b8e3d83,Erik Brock,Toaster,Home,996.66,3,2026-05-14 12:58:53,Processing
d049f9f5-88c7-4e07-abc8-14f450e28180,Tammy Morales,Smartphone,Electronics,396.63,4,2026-05-14 12:46:53,Shipped
c5e96cbf-849a-48fc-b7d3-b8f948e25aba,Robin Patton DVM,Hoodie,Apparel,732.13,2,2026-05-14 12:49:53,Shipped
fbd3bfb7-4121-4a57-81a5-4b30aa95acfc,John Castro,Vacuum,Home,916.73,5,2026-05-14 12:44:53,Shipped
fa0614f3-caa7-4e27-a9dd-db28c4120cf5,Kelly Roberts,Desk Lamp,Home,98.5,4,2026-05-14 13:01:53,Shipped1a5500f5-0197-43e9-bcd6-5168b7f4b100,Darlene Nelson,Smartwatch,Electronics,130.3,3,2026-05-14 13:08:23,Shipped
968f3c4c-8c6e-4918-afe9-4b364cd9a79c,Tammy Mccoy,Smartwatch,Electronics,141.87,1,2026-05-14 12:57:23,Shipped
e59a366b-ee52-402e-b88d-22e6d83dd537,Carrie Herring,T-Shirt,Apparel,369.25,3,2026-05-14 13:10:23,Processing
341ababa-9e9e-45bc-b040-f0c56e8caa2d,Marc Hart,T-Shirt,Apparel,962.38,5,2026-05-14 13:02:23,Shipped
7ec9e389-3abf-48c5-bd82-b171c99a9783,Robert Bennett,Smartwatch,Electronics,228.3,5,2026-05-14 12:59:23,Shipped
59c6aabb-474b-446e-879c-3b7557141c72,Adam Gregory,Smartwatch,Electronics,717.35,1,2026-05-14 12:48:23,Shipped
ba20199a-8560-4b97-8853-f12c677fb4aa,Anthony Lewis,T-Shirt,Apparel,779.13,2,2026-05-14 12:44:23,Shipped
cdaae0b3-405f-480c-b73d-3ab259022ecb,Ryan Taylor,Toaster,Home,698.34,1,2026-05-14 13:14:23,Shipped
813714aa-344c-4b54-b631-060936a46a3c,Anna Sanchez,Smartphone,Electronics,571.31,5,2026-05-14 13:30:23,Shipped
bade0d54-69b9-4617-8857-51882e9d1561,Mr. Andrew Acosta,Coffee Maker,Home,842.84,4,2026-05-14 13:13:23,Processing
4d6139f7-8f4a-41d9-a7e2-f84007e70066,Mr. James Larson DDS,Desk Lamp,Home,350.14,3,2026-05-14 13:33:53,Shipped
9fb0cd56-b870-40fb-97c2-8d4a4364ac54,Samuel Daniel,Jeans,Apparel,622.61,4,2026-05-14 13:34:53,Processing
05d8ff93-e751-449d-8f7f-03ca9fe80722,Cynthia Schaefer,Laptop,Electronics,563.86,4,2026-05-14 13:27:53,Shipped
0ffa22bf-d121-460a-8010-9c7efc0825a0,Curtis Cain,Smartwatch,Electronics,142.44,2,2026-05-14 12:44:53,Shipped
ec53499a-d27f-4e3b-ac49-4cc9e9109080,Michael Orozco,Vacuum,Home,800.9,3,2026-05-14 13:26:53,Shipped
b0ce771b-b669-43cd-a49e-a2db4aefc6c8,Cassandra Nguyen,Sneakers,Apparel,867.13,2,2026-05-14 13:12:53,Shipped
d3695f2d-35d0-49f9-b20d-1ee371810a8a,Robert Doyle,Toaster,Home,547.49,1,2026-05-14 13:30:53,Shipped
b4118540-8ab3-4bfc-ae8b-3a625e7a9f33,Hannah Stark,Vacuum,Home,80.81,4,2026-05-14 12:49:53,Shipped
f5fe6b44-299e-4f74-a55e-bb13f67dec39,Anthony Jones,Vacuum,Home,725.55,4,2026-05-14 12:48:53,Shipped
116d0136-2435-4888-a93f-624a0c78eba7,Ashley Lee,Toaster,Home,401.76,4,2026-05-14 12:46:53,Shipped
1ba40148-344f-44e1-9cf2-3cb10e351b77,Erika Chan,Jeans,Apparel,650.36,3,2026-05-14 13:14:23,Processing
f840b210-a591-4a63-b832-b027e9210028,John Perez,Vacuum,Home,63.38,4,2026-05-14 13:31:23,Shipped
bd30194d-edbe-45b2-be0a-628f96f9db8f,James Hunt,Smartphone,Electronics,904.47,1,2026-05-14 12:39:23,Processing
e8b8f620-160a-4221-8c04-907f61482629,Gene Willis,Smartwatch,Electronics,10.31,5,2026-05-14 12:41:23,Processing
12cdfaec-afa8-4529-be56-f197ad3e320e,Matthew Patterson,Toaster,Home,310.36,5,2026-05-14 13:12:23,Shipped
648382df-1d33-4e0e-a595-1e2faefa19fb,Barbara Haney,Vacuum,Home,87.6,5,2026-05-14 13:10:23,Shipped
ddb51d54-3b76-4ef2-a72b-f7c9b6fcf36e,Tonya Riley,Coffee Maker,Home,682.58,2,2026-05-14 13:32:23,Shipped
2610de8c-c44b-4dc7-9205-053d5ee49ee7,Jacqueline Garza,Toaster,Home,998.31,3,2026-05-14 13:32:23,Shipped
68a27590-04c7-4d4b-856a-10d36d5d6f26,Charles Hill,T-Shirt,Apparel,630.39,2,2026-05-14 13:01:23,Shipped
2eefd58c-d22c-456e-ab3e-2e121ad919bf,Jeremiah Garcia,Jeans,Apparel,876.93,5,2026-05-14 13:30:23,Processing
9736bb99-0125-44cf-9052-126384e3fd2c,Andrew Stevenson,Sneakers,Apparel,905.29,5,2026-05-14 13:25:53,Cancelled
c1fdb655-3a0e-4d56-93dd-63a2e3136339,Heidi Kane,Headphones,Electronics,521.22,3,2026-05-14 12:51:53,Shipped
57ed21dc-b30f-43b0-b3a0-8f76af37331b,Mark Chambers DVM,T-Shirt,Apparel,780.59,5,2026-05-14 13:36:53,Shipped
7c9343ac-58c8-4787-bd7e-d567828903e9,Teresa Baird,Desk Lamp,Home,783.15,3,2026-05-14 12:49:53,Shipped
cc332e69-3011-4bd8-86b9-9baa4a6382d6,Laura Richards,Desk Lamp,Home,474.76,3,2026-05-14 12:46:53,Shipped
b12905a8-ff7d-46ea-a2e6-07df5c870f10,Timothy Mendez,Smartphone,Electronics,422.17,2,2026-05-14 12:53:53,Shipped
30ea1e59-de4c-48b2-b9b3-b9770eeaa2a9,Michelle Matthews,Smartwatch,Electronics,231.74,3,2026-05-14 12:42:53,Shipped
c4d66117-ba11-4975-ac65-b1f157d917f8,Ethan Lee,Vacuum,Home,184.26,3,2026-05-14 13:07:53,Shipped
82dd67b7-4804-4afa-9207-5c851e090e04,Jason Williams,Coffee Maker,Home,342.24,2,2026-05-14 13:01:53,Shipped
ea92b178-f610-45a8-9d3e-eb9b76dc0275,Scott Craig,Laptop,Electronics,510.7,3,2026-05-14 13:12:53,Shipped
